Year,province,Average_predicted_Standardized_PM10
2025,Drenthe,-2
2026,Drenthe,-3
2027,Drenthe,-3
2028,Drenthe,-3
2029,Drenthe,-3
2030,Drenthe,-4
2031,Drenthe,-4
2025,Flevoland,-2
2026,Flevoland,-2
2027,Flevoland,-2
2028,Flevoland,-2
2029,Flevoland,-2
2030,Flevoland,-3
2031,Flevoland,-3
2025,Friesland,-2
2026,Friesland,-2
2027,Friesland,-2
2028,Friesland,-3
2029,Friesland,-3
2030,Friesland,-3
2031,Friesland,-3
2025,Gelderland,-1
2026,Gelderland,-1
2027,Gelderland,-1
2028,Gelderland,-1
2029,Gelderland,-1
2030,Gelderland,-2
2031,Gelderland,-2
2025,Groningen,0
2026,Groningen,0
2027,Groningen,0
2028,Groningen,-1
2029,Groningen,-1
2030,Groningen,-1
2031,Groningen,-1
2025,Limburg,-1
2026,Limburg,-1
2027,Limburg,-2
2028,Limburg,-2
2029,Limburg,-2
2030,Limburg,-2
2031,Limburg,-2
2025,Noord-Brabant,-1
2026,Noord-Brabant,-1
2027,Noord-Brabant,-1
2028,Noord-Brabant,-2
2029,Noord-Brabant,-2
2030,Noord-Brabant,-2
2031,Noord-Brabant,-2
2025,Noord-Holland,-1
2026,Noord-Holland,-1
2027,Noord-Holland,-1
2028,Noord-Holland,-1
2029,Noord-Holland,-2
2030,Noord-Holland,-2
2031,Noord-Holland,-2
2025,Overijssel,-2
2026,Overijssel,-2
2027,Overijssel,-2
2028,Overijssel,-2
2029,Overijssel,-3
2030,Overijssel,-3
2031,Overijssel,-3
2025,Utrecht,-1
2026,Utrecht,-1
2027,Utrecht,-2
2028,Utrecht,-2
2029,Utrecht,-2
2030,Utrecht,-2
2031,Utrecht,-3
2025,Zeeland,-1
2026,Zeeland,-1
2027,Zeeland,-1
2028,Zeeland,-2
2029,Zeeland,-2
2030,Zeeland,-2
2031,Zeeland,-2
2025,Zuid-Holland,0
2026,Zuid-Holland,-1
2027,Zuid-Holland,-1
2028,Zuid-Holland,-1
2029,Zuid-Holland,-1
2030,Zuid-Holland,-2
2031,Zuid-Holland,-2
